id,userId,shopId,createTime,updateTime,isDelete
1,1,1,2026-03-24 11:55:00,2026-03-24 11:55:00,0
2,2,14,2026-03-23 11:50:00,2026-03-23 11:50:00,0
3,6,27,2026-03-22 11:45:00,2026-03-22 11:45:00,0
4,7,40,2026-03-21 11:40:00,2026-03-21 11:40:00,0
5,8,53,2026-03-20 11:35:00,2026-03-20 11:35:00,0
6,9,66,2026-03-19 11:30:00,2026-03-19 11:30:00,0
7,10,79,2026-03-18 11:25:00,2026-03-18 11:25:00,0
8,11,92,2026-03-17 11:20:00,2026-03-17 11:20:00,0
9,12,105,2026-03-16 11:15:00,2026-03-16 11:15:00,0
10,13,118,2026-03-15 11:10:00,2026-03-15 11:10:00,0
11,14,131,2026-03-14 11:05:00,2026-03-14 11:05:00,0
12,15,144,2026-03-13 11:00:00,2026-03-13 11:00:00,0
13,56,157,2026-03-12 10:55:00,2026-03-12 10:55:00,0
14,57,170,2026-03-11 10:50:00,2026-03-11 10:50:00,0
15,58,183,2026-03-10 10:45:00,2026-03-10 10:45:00,0
16,59,196,2026-03-09 10:40:00,2026-03-09 10:40:00,0
17,60,209,2026-03-08 10:35:00,2026-03-08 10:35:00,0
18,61,222,2026-03-07 10:30:00,2026-03-07 10:30:00,0
19,62,235,2026-03-06 10:25:00,2026-03-06 10:25:00,0
20,63,248,2026-03-05 10:20:00,2026-03-05 10:20:00,0
21,64,261,2026-03-04 10:15:00,2026-03-04 10:15:00,0
22,65,274,2026-03-03 10:10:00,2026-03-03 10:10:00,0
23,66,287,2026-03-02 10:05:00,2026-03-02 10:05:00,0
24,67,301,2026-03-01 10:00:00,2026-03-01 10:00:00,0
25,68,314,2026-02-28 09:55:00,2026-02-28 09:55:00,0
26,69,327,2026-02-27 09:50:00,2026-02-27 09:50:00,0
27,70,340,2026-02-26 09:45:00,2026-02-26 09:45:00,0
28,71,353,2026-02-25 09:40:00,2026-02-25 09:40:00,0
29,72,366,2026-02-24 09:35:00,2026-02-24 09:35:00,0
30,73,379,2026-02-23 09:30:00,2026-02-23 09:30:00,0
31,74,392,2026-02-22 09:25:00,2026-02-22 09:25:00,0
32,75,405,2026-02-21 09:20:00,2026-02-21 09:20:00,0
33,76,418,2026-02-20 09:15:00,2026-02-20 09:15:00,0
34,77,431,2026-02-19 09:10:00,2026-02-19 09:10:00,0
35,78,444,2026-02-18 09:05:00,2026-02-18 09:05:00,0
36,79,457,2026-02-17 09:00:00,2026-02-17 09:00:00,0
37,80,470,2026-02-16 08:55:00,2026-02-16 08:55:00,0
38,81,483,2026-02-15 08:50:00,2026-02-15 08:50:00,0
39,82,496,2026-02-14 08:45:00,2026-02-14 08:45:00,0
40,83,509,2026-02-13 08:40:00,2026-02-13 08:40:00,0
41,84,522,2026-02-12 08:35:00,2026-02-12 08:35:00,0
42,85,535,2026-02-11 08:30:00,2026-02-11 08:30:00,0
43,86,548,2026-02-10 08:25:00,2026-02-10 08:25:00,0
44,87,561,2026-02-09 08:20:00,2026-02-09 08:20:00,0
45,88,574,2026-02-08 08:15:00,2026-02-08 08:15:00,0
46,89,587,2026-02-07 08:10:00,2026-02-07 08:10:00,0
47,90,601,2026-02-06 08:05:00,2026-02-06 08:05:00,0
48,91,614,2026-02-05 08:00:00,2026-02-05 08:00:00,0
49,92,627,2026-02-04 07:55:00,2026-02-04 07:55:00,0
50,93,640,2026-02-03 07:50:00,2026-02-03 07:50:00,0
51,94,653,2026-02-02 07:45:00,2026-02-02 07:45:00,0
52,95,666,2026-02-01 07:40:00,2026-02-01 07:40:00,0
53,96,679,2026-01-31 07:35:00,2026-01-31 07:35:00,0
54,97,692,2026-01-30 07:30:00,2026-01-30 07:30:00,0
55,98,705,2026-01-29 07:25:00,2026-01-29 07:25:00,0
56,99,718,2026-01-28 07:20:00,2026-01-28 07:20:00,0
57,100,731,2026-01-27 07:15:00,2026-01-27 07:15:00,0
58,101,744,2026-01-26 07:10:00,2026-01-26 07:10:00,0
59,102,757,2026-01-25 07:05:00,2026-01-25 07:05:00,0
60,103,770,2026-01-24 07:00:00,2026-01-24 07:00:00,0
61,104,783,2026-01-23 06:55:00,2026-01-23 06:55:00,0
62,105,796,2026-01-22 06:50:00,2026-01-22 06:50:00,0
63,106,809,2026-01-21 06:45:00,2026-01-21 06:45:00,0
64,107,822,2026-01-20 06:40:00,2026-01-20 06:40:00,0
65,108,835,2026-01-19 06:35:00,2026-01-19 06:35:00,0
66,109,848,2026-01-18 06:30:00,2026-01-18 06:30:00,0
67,110,861,2026-01-17 06:25:00,2026-01-17 06:25:00,0
68,111,874,2026-01-16 06:20:00,2026-01-16 06:20:00,0
69,112,887,2026-01-15 06:15:00,2026-01-15 06:15:00,0
70,113,901,2026-01-14 06:10:00,2026-01-14 06:10:00,0
71,114,914,2026-01-13 06:05:00,2026-01-13 06:05:00,0
72,115,927,2026-01-12 06:00:00,2026-01-12 06:00:00,0
73,116,940,2026-01-11 05:55:00,2026-01-11 05:55:00,0
74,117,953,2026-01-10 05:50:00,2026-01-10 05:50:00,0
75,118,966,2026-01-09 05:45:00,2026-01-09 05:45:00,0
76,119,979,2026-01-08 05:40:00,2026-01-08 05:40:00,0
77,120,992,2026-01-07 05:35:00,2026-01-07 05:35:00,0
78,121,1005,2026-01-06 05:30:00,2026-01-06 05:30:00,0
79,122,1018,2026-01-05 05:25:00,2026-01-05 05:25:00,0
80,123,1031,2026-01-04 05:20:00,2026-01-04 05:20:00,0
81,124,1044,2026-01-03 05:15:00,2026-01-03 05:15:00,0
82,125,1057,2026-01-02 05:10:00,2026-01-02 05:10:00,0
83,126,1070,2026-01-01 05:05:00,2026-01-01 05:05:00,0
84,127,1083,2025-12-31 05:00:00,2025-12-31 05:00:00,0
85,128,1096,2025-12-30 04:55:00,2025-12-30 04:55:00,0
86,129,1109,2025-12-29 04:50:00,2025-12-29 04:50:00,0
87,130,1122,2025-12-28 04:45:00,2025-12-28 04:45:00,0
88,131,1135,2025-12-27 04:40:00,2025-12-27 04:40:00,0
89,132,1148,2025-12-26 04:35:00,2025-12-26 04:35:00,0
90,133,1161,2025-12-25 04:30:00,2025-12-25 04:30:00,0
91,134,1174,2025-12-24 04:25:00,2025-12-24 04:25:00,0
92,135,1187,2025-12-23 04:20:00,2025-12-23 04:20:00,0
93,136,1201,2025-12-22 04:15:00,2025-12-22 04:15:00,0
94,137,1214,2025-12-21 04:10:00,2025-12-21 04:10:00,0
95,138,1227,2025-12-20 04:05:00,2025-12-20 04:05:00,0
96,139,1240,2025-12-19 04:00:00,2025-12-19 04:00:00,0
97,140,1253,2025-12-18 03:55:00,2025-12-18 03:55:00,0
98,141,1266,2025-12-17 03:50:00,2025-12-17 03:50:00,0
